artist,artist_playcount,artist_listeners,mbid,rank_global_artist
Jennie,109170515,1488970,d32de3a1-01f0-430e-859a-72307724041c,160
Elton John,162278946,5197104,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,161
Chase Atlantic,200504700,1850211,ecab255c-3af3-4154-87ec-2685041ce297,162
The Police,110386947,4572185,9e0e2b01-41db-4008-bd8b-988977d6019a,163
Bring Me the Horizon,320126596,2809570,074e3847-f67f-49f9-81f1-8c8cea147e8e,164
Empire of the Sun,78035739,3020176,ac7e838c-3d95-47c2-92a9-81767ad7c217,165
Blood Orange,104295239,1958984,c74877e0-58e0-41dd-a022-29361095d753,166
Alice in Chains,218708827,3433780,4bd95eea-b9f6-4d70-a36c-cfea77431553,167
Chief Keef,139951786,1735539,9118f524-be76-4eaf-875c-ccf15e2a2ad6,168
Charlie Puth,133905646,2452791,525f1f1c-03f0-4bc8-8dfd-e7521f87631b,169
The Cardigans,91982084,3641900,3e55d51d-687f-4a9d-af96-2fabccf802e5,170
Young Thug,192159127,1862935,1a9cc1a5-51f1-4deb-91fe-da866f6cc6ce,171
50 Cent,118961650,4898334,8e68819d-71be-4e7d-b41d-f1df81b01d3f,172
Ed Sheeran,254378951,4186516,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,173
Nicki Minaj,305992895,4721618,1036b808-f58c-4a3e-b461-a2c4492ecf1b,174
Gwen Stefani,89053576,4446034,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,175
Mazzy Star,108551339,2708108,c48d4327-8122-4286-af66-05e1ee6ac4d8,176
Selena Gomez,202982622,3154243,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,177
Cage the Elephant,145574796,3367178,b41b38d4-ef3e-4f37-8c75-cfe9af999696,178
Trippie Redd,185784620,1875960,8032cf05-d916-4b2a-9c53-6e75d4a24bd8,179
aespa,265178493,1315488,b51c672b-85e0-48fe-8648-470a2422229f,180
Korn,248283705,3390868,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,181
Chris Brown,158216597,4745393,c234fa42-e6a6-443e-937e-2f4b073538a3,182
Kate Bush,144194165,3440779,4b585938-f271-45e2-b19a-91c634b5e396,183
The Kid LAROI,161436325,2472125,80609a00-b394-4a49-975b-2db6b543fa97,184
Usher,102538340,4999930,3414d446-735a-443c-931f-10634f57e5b9,185
ILLIT,87561087,1135269,6b128dd7-e998-4edb-a4f5-400fef190445,186
Lizzy McAlpine,111029576,1411577,ee0b11de-0c8a-4267-9886-198f4579e1db,187
Imagine Dragons,250519387,4045276,012151a8-0f9a-44c9-997f-ebd68b5389f9,188
ROSALÍA,198860944,1843406,25f3abd9-63b5-471a-bd25-feb9672dfa11,189
Lil Tecca,158831148,1759369,e6fdf3f9-8077-4126-b0cf-94da9a8b627e,190
Kodak Black,104958009,1804585,5ec1ecc6-4535-4911-a27a-e26343f4a189,191
